"Name","Gross Export","Share","Code","Sector"
"Iodine","442245","0.0008623434239340798","2801","Chemicals"
"Sulfur, sublimed or precipitated","468537","0.0009136107832079548","2802","Chemicals"
"Carbon","176699712","0.34455072336430215","2803","Chemicals"
"Silicon & rare gases","846020","0.0016496733338233563","2804","Chemicals"
"Rare-earth metals","172224","0.00033582343235903845","2805","Chemicals"
"Hydrochloric acid","2377793","0.004636511791035483","2806","Chemicals"
"Sulfiric acid, oleum","276150","0.0005384710658557951","2807","Chemicals"
"Sulfonitric acids","8331501","0.016245780277561555","2808","Chemicals"
"Phosphoric acid etc.","2837","0.000005531929798417131","2809","Chemicals"
"Oxides of boron; boric acids","12608","0.00002458462139529193","2810","Chemicals"
"Other inorganic acids","2620734","0.005110227884499444","2811","Chemicals"
"Sulfides of nonmetals","39453","0.00007693028774654603","2813","Chemicals"
"Ammonia","86142856","0.16797188298454563","2814","Chemicals"
"Sodium hydroxide","36835204","0.07182578873400561","2815","Chemicals"
"Hydroxides or peroxides of magnesium","32777","0.0000639126059227065","2816","Chemicals"
"Zinc oxide or peroxide","363387","0.0007085764447153353","2817","Chemicals"
"Aluminum oxide","154051","0.0003003874929065765","2818","Chemicals"
"Chromium oxides and hydroxides","103634","0.00020207825616114239","2819","Chemicals"
"Manganese oxides","259451","0.0005059093119947562","2820","Chemicals"
"Iron oxides and hydroxides","1124925","0.0021935164358422247","2821","Chemicals"
"Titanium oxides","20397","0.00003977256683056547","2823","Chemicals"
"Metal base oxides, n.e.c.","2725876","0.005315246623613006","2825","Chemicals"
"Flourides","212492","0.0004143429068471107","2826","Chemicals"
"Chlorides, bromides, iodides etc.","1024991","0.0019986528924953732","2827","Chemicals"
"Hyopchlorites","2806785","0.005473012893637726","2828","Chemicals"
"Sodium chlorate","211750","0.00041289606443948803","2829","Chemicals"
"Dithionites and sulfoxylates","675692","0.0013175469543010463","2831","Chemicals"
"Sulfites","454103","0.0008854656035426911","2832","Chemicals"
"Sulfates","3432178","0.006692480702034443","2833","Chemicals"
"Nitrites, nitrates","1252067","0.0024414334673650835","2834","Chemicals"
"Phosphates","6503268","0.01268086783091032","2835","Chemicals"
"Carbonates","32865232","0.06408465147433637","2836","Chemicals"
"Silicates","12124533","0.023641898270917117","2839","Chemicals"
"Borates","16009","0.00003121630741729286","2840","Chemicals"
"Salts of oxometallic acids","381130","0.0007431739175434337","2841","Chemicals"
"Uranium","102870","0.00020058851546111045","2844","Chemicals"
"Hydrogen peroxide","3840","0.000007487701947804647","2847","Chemicals"
"Phosphides","173266","0.00033785525148133334","2848","Chemicals"
"Carbides","4022","0.000007842587821372472","2849","Chemicals"
"Inorganic compounds, liquid or compressed air","89705","0.0001749177872989104","2851","Chemicals"
"Acyclic hydrocarbons","3748820","0.0073099080249919325","2901","Chemicals"
"Cyclic hydrocarbons","4485386","0.008746154554389506","2902","Chemicals"
"Halogenated derivatives of hydrocarbons","409668","0.0007988208024878214","2903","Chemicals"
"Sulfonated, nitrated derivatives of hydrocarbons","169728","0.0003309564260929654","2904","Chemicals"
"Acyclic alcohols","271375328","0.5291608260551367","2905","Chemicals"
"Cyclic alcohols","32065","0.00006252426118655105","2906","Chemicals"
"Phenols, phenol-alcohols","50434","0.00009834238542593218","2907","Chemicals"
"Derivatives of phenols","115759","0.00022572106504581204","2908","Chemicals"
"Ethers","510665","0.0009957571133269948","2909","Chemicals"
"Epoxides","62569","0.0001220046935344242","2910","Chemicals"
"Aldehydes","8239214","0.016065827790671696","2912","Chemicals"
"Ketones and quinones","836560","0.0016312270680873585","2914","Chemicals"
"Saturated acyclic monocarboxylic acids","253132","0.0004935877524613766","2915","Chemicals"
"Unsaturated acyclic monocarboxylic acids","339940","0.0006628566146189354","2916","Chemicals"
